"cellIndex","windowIndex","frameIndex","termination","Duration","avgSpeed","maxSpeed"
1,1,11,25,15,-4.40974070801244,2.23453173142807
1,1,33,39,7,-2.96353546136895,0.671539536159829
1,1,50,63,14,-4.64629547422301,2.98009155478945
1,1,74,79,6,-2.50097876465954,0.93550335621283
1,2,12,25,14,-4.34574028289867,1.14832997248128
1,2,50,55,6,-3.23271819062537,-0.31861439093295
1,2,57,63,7,-2.8401342096589,2.36546263676989
1,2,74,79,6,-2.68226289051639,-0.23425629061081
1,3,12,25,14,-3.53694322822562,2.93888399159655
1,3,50,63,14,-3.78251495134374,-0.18965538521825
1,3,73,79,7,-3.04338102509006,0.0175974164790023
1,4,2,5,4,-2.50310975481854,0.00569003460103576
1,4,13,24,12,-3.11140368000328,2.52292266036934
1,4,50,65,16,-5.68746851926025,-0.103014076164829
1,4,74,78,5,-2.66070251850765,-0.459296937354536
1,5,2,7,6,-3.32643916299486,0.672930956845047
1,5,17,24,8,-3.70565791819274,3.26732620800666
1,5,50,66,17,-6.08215568843905,0.987236957109045
1,6,18,24,7,-4.52957207843087,1.72748155864153
1,6,51,66,16,-6.56181874875963,0.881843206599113
1,7,17,24,8,-4.74969339891311,0.200627996059887
1,7,51,66,16,-6.2307789353193,0.0884667176786486
1,7,75,79,5,-2.70067940965655,0.409403700773793
1,8,17,24,8,-4.72098306315182,0.388944474388385
1,8,52,66,15,-5.25853012451621,0.438670330046925
1,8,74,80,7,-2.53511160237326,2.983349204623
1,9,17,24,8,-3.36529009657304,1.91348303127722
1,9,53,65,13,-4.86814574726398,-0.226156755333935
1,9,74,80,7,-2.81257511192576,2.95708359353557
1,10,17,23,7,-3.24651347912912,-0.317504887209638
1,10,52,66,15,-3.78742860912671,0.658282975486708
1,10,75,79,5,-2.94021786812716,0.288645551754313
1,11,16,23,8,-2.77563824333583,-0.3402263269235
1,11,51,66,16,-3.16989389152884,0.280775900198401
1,12,17,23,7,-3.21651150546759,-0.618471295146712
1,12,58,65,8,-3.07062987214991,0.302356533833396
1,13,18,23,6,-2.83013671053668,-0.369691494385626
1,13,58,63,6,-2.64981770979848,-0.303970792571862
1,14,18,23,6,-2.65912440658003,-0.151736667268887
1,15,18,23,6,-2.27658701169483,0.0724908799117711
1,16,87,90,4,-2.34865731136062,-0.724623614748679
1,17,87,90,4,-2.08280916133279,-0.565570109265059
1,18,59,65,7,-2.59010428517772,-0.328527689773953
1,19,58,65,8,-2.3340605747294,-0.184131784292387
1,20,18,23,6,-2.53558581281833,-0.448906995318061
1,20,58,64,7,-2.24322572755731,0.0565831766242112
1,21,18,23,6,-2.09091242441068,-0.213062295575692
1,21,58,64,7,-2.0696051157491,0.140983957597758
1,22,59,64,6,-2.3087426718606,-0.200865703332832
1,23,59,65,7,-2.37074083731813,-0.130763183806624
1,24,58,66,9,-2.02053462943056,0.935519666219722
1,25,18,23,6,-2.11660677573157,-0.323970493272251
1,25,58,65,8,-2.26008133071492,-0.11359648108735
1,26,18,23,6,-2.45931693002883,-0.29013335648292
1,26,58,65,8,-2.23285834428615,-0.327790978560055
1,27,18,23,6,-2.41259511182377,0.041865269836587
1,29,18,23,6,-2.03068091662373,0.0362326942191499
1,30,18,23,6,-2.02271502856839,0.0729950996764171
1,33,18,24,7,-2.35774781727656,1.28605725929738
1,34,18,24,7,-2.3475762792015,1.24863576208821
1,40,58,64,7,-2.26995565432816,-0.0889146749165223
1,43,19,23,5,-2.27602159965202,-0.340307963230739
1,44,18,25,8,-3.84376284494395,0.460120051982962
1,44,39,45,7,-2.54897918855834,-0.389982298092094
