"cellIndex","windowIndex","frameIndex","termination","Duration","avgSpeed","maxSpeed"
1,1,2,6,5,-5.01434447456666,2.40927662454563
1,1,34,47,14,-3.66816214168261,0.902410964874594
1,1,56,63,8,-7.57790892392968,0.0418479278155113
1,1,77,89,13,-2.19906005311531,-0.637340453822768
1,2,34,38,5,-2.94351566689092,-0.383976749196075
1,2,42,47,6,-3.09304143593756,1.49060735459977
1,2,56,65,10,-7.80385338157941,2.58916400591531
1,2,76,89,14,-3.41765007983457,-1.15010904485037
1,3,10,14,5,-2.3228572141394,0.194502454530737
1,3,44,47,4,-2.03311367687037,0.268929041200634
1,3,57,67,11,-5.91090413031421,1.922211702389
1,3,75,83,9,-3.60958015212663,1.47090350370805
1,3,86,89,4,-5.40203505901201,-1.44796310800467
1,4,59,69,11,-4.40890323463099,4.74102654841708
1,4,77,83,7,-3.37384901338789,1.10130790205703
1,5,62,69,8,-3.69962844552411,0.33619948702042
1,5,80,83,4,-2.46366200721664,0.14468838400369
1,6,66,70,5,-2.31011101731057,1.86939758443232
1,39,26,32,7,-2.19483986408068,-0.379171301177829
1,40,26,32,7,-2.42468573610187,0.20803938854436
1,41,26,32,7,-2.28694507969172,0.704516480659304
1,42,25,32,8,-2.42202499750206,0.732322180266615
1,43,25,32,8,-2.47463111097976,0.845596962448271
1,44,25,32,8,-2.50428751597784,0.425654862257579
1,44,41,48,8,-2.08392235313007,0.0374326878220475
1,45,26,36,11,-2.04739370770692,-0.243120613404968
1,45,42,49,8,-2.07616384065825,0.858722219200257
1,46,25,36,12,-2.42537032304036,-0.226983458533733
1,46,42,48,7,-2.23203976006792,0.106709613763371
1,47,24,32,9,-3.08878534251197,-0.196647711826632
1,47,42,48,7,-2.30694137748878,0.0581905221048649
1,48,25,32,8,-2.88120716617725,-0.0408457705893499
1,48,41,47,7,-2.17420408153419,-0.428835535529933
1,49,25,33,9,-2.90918208522535,0.203582832935136
1,49,41,47,7,-2.36355357153633,0.126984897597681
1,50,25,33,9,-3.1787867399222,1.0145021322508
1,50,41,47,7,-2.5396884002917,-0.242897051906534
1,51,26,32,7,-4.0716569922932,-0.208958607274147
1,51,42,48,7,-2.92369227323016,-0.176940636608478
1,52,25,37,13,-2.18271759883694,0.880648132964591
1,52,41,48,8,-2.26282744742326,1.50693450071223
1,52,57,63,7,-2.95358530226747,-0.156866149620815
1,53,41,47,7,-3.03228725260848,-0.00184261603485931
1,53,57,63,7,-2.60481829417721,0.240094824165717
1,54,40,48,9,-2.3836406456653,1.29359206292714
1,54,57,63,7,-2.46198352650602,-0.214599986391624
1,55,40,48,9,-2.52401531308863,0.683932113316818
1,55,57,64,8,-2.06949376860942,-0.257290375864626
1,56,11,23,13,-2.11930428515842,-0.350940924472007
1,56,56,72,17,-2.22221202663341,0.583542826603322
1,59,10,24,15,-2.17055632243169,0.836353569472512
1,60,2,6,5,-2.14885557525454,-0.216816769728552
1,61,2,6,5,-2.4108684231244,-0.242224185291837
1,62,2,6,5,-2.35834582018389,-0.358600136874406
1,63,2,6,5,-2.43903547156875,-0.308250845417486
1,64,2,6,5,-2.26905133224456,-0.415447148272617
1,65,15,24,10,-2.06784168931472,1.08539605910841
1,65,63,73,11,-2.12987491625123,-0.0207798448075368
1,66,63,74,12,-2.07488393886632,0.121795009435221
1,67,62,74,13,-2.00469359582185,0.154646226365308
1,71,14,23,10,-2.1273917908239,0.0764879949792513
1,72,15,23,9,-2.2115386859622,0.131396441950635
1,73,15,23,9,-2.05164615854508,-0.156172828283941
1,77,2,6,5,-2.07376521249363,0.695070337996207
1,101,14,20,7,-2.05412889296867,-0.171512083978399
1,102,13,20,8,-2.75042751815242,-0.40695362454976
1,112,38,51,14,-3.38742740865338,1.84376438411177
1,113,38,51,14,-6.1245987962764,1.6842552681003
1,113,61,79,19,-2.20856198321329,-0.0253293409079109
1,114,38,51,14,-6.70317508081075,1.20704690759075
1,115,37,51,15,-6.58231820383308,0.702681842169017
1,116,2,8,7,-4.03533794565494,0.820136882573157
1,116,35,46,12,-9.77701303277046,1.24446294090725
1,116,53,65,13,-2.27258609515611,-0.209793300627415
