"cellIndex","windowIndex","frameIndex","termination","Duration","avgSpeed","maxSpeed"
1,1,18,30,13,-3.92863796538462,3.332261
1,1,38,44,7,-2.85971028571429,6.049399
1,1,56,60,5,-2.4202878,0.9078072
1,1,65,70,6,-5.21047716666667,1.049682
1,1,82,88,7,-6.24599528571429,7.308106
1,2,19,29,11,-8.10717739090909,0.8383726
1,2,33,43,11,-3.92950326363636,4.390275
1,2,56,59,4,-5.901667975,0.2718731
1,2,63,72,10,-5.56509621,-0.2357151
1,2,82,88,7,-10.0366738571429,7.755852
1,3,19,28,10,-8.7531621,1.933842
1,3,32,36,5,-3.8007261,0.6410885
1,3,38,43,6,-3.72822973333333,9.795784
1,3,63,74,12,-5.55642654416667,4.227319
1,3,83,87,5,-4.5012466,2.070587
1,4,19,29,11,-5.84105908181818,8.505322
1,4,33,42,10,-4.9352409,1.140953
1,4,55,59,5,-3.737244178,9.347549
1,4,64,74,11,-7.46853036363636,1.846163
1,5,23,30,8,-7.7769132125,10.98826
1,5,36,42,7,-6.34536541428571,0.2793271
1,5,54,58,5,-3.9517888,4.464649
1,5,65,80,16,-8.524213625,3.221784
1,6,23,31,9,-10.2207097666667,15.10814
1,6,38,42,5,-4.184202,2.162157
1,6,53,59,7,-4.78528071428571,2.354267
1,6,67,81,15,-12.7720835333333,3.878809
1,7,23,31,9,-16.1528756888889,13.66726
1,7,72,82,11,-23.9953756363636,4.982133
1,8,22,34,13,-2.58297946153846,33.06993
1,8,58,63,6,-3.07388323333333,8.383374
1,8,72,82,11,-27.8858146363636,5.239462
1,9,59,64,6,-4.31950113333333,8.537606
1,9,73,83,11,-23.7236802090909,16.37193
1,10,59,65,7,-9.17693671428571,5.171012
1,10,73,83,11,-22.2150058181818,15.23849
1,11,59,65,7,-11.4789228571429,2.098007
1,11,74,83,10,-25.1579445,10.73271
1,12,75,84,10,-21.2794728,2.825703
1,13,75,86,12,-18.2960949166667,0.9793583
1,14,61,71,11,-5.14164285454545,0.6480608
1,14,76,90,15,-9.52265006666667,43.02096
1,15,62,70,9,-9.162348,1.834959
1,15,76,90,15,-8.10896121333333,55.77512
1,16,53,56,4,-2.990448725,1.176684
1,16,63,70,8,-11.308064875,6.229049
1,16,77,90,14,-7.4013475,57.01351
1,17,53,57,5,-5.4331882,6.572185
1,17,63,70,8,-13.683260375,3.723275
1,17,79,90,12,-9.92544861666667,54.09369
1,18,53,71,19,-2.3149405,31.0439
1,18,79,90,12,-15.43704525,63.87258
1,19,65,70,6,-4.86849133333333,4.647921
1,19,80,90,11,-5.61629081818182,75.32433
1,20,52,58,7,-18.3635856734286,10.50014
1,22,80,85,6,-6.0771025,3.066027
1,23,2,8,7,-7.88090851428571,5.856182
1,24,2,8,7,-13.6178707142857,1.038321
1,25,2,7,6,-12.1909608333333,0.88058
1,25,79,86,8,-36.069909,3.596058
1,26,9,13,5,-7.184497,1.151519
1,26,76,90,15,-15.6481886,34.48799
1,27,10,15,6,-7.351872,3.375244
1,27,47,90,44,-2.22377518181818,46.94223
1,28,71,90,20,-4.5119658,39.04163
1,29,70,90,21,-2.12763052380952,37.95253
1,31,80,90,11,-6.38754681818182,25.14362
1,32,60,64,5,-2.9281692,4.018518
1,32,82,90,9,-8.09925767777778,18.38702
1,33,60,63,4,-2.536262325,0.2326267
1,33,69,74,6,-2.64641466666667,15.7342
1,33,82,90,9,-11.9634051111111,10.89228
1,34,59,62,4,-2.987577,1.567938
1,34,64,73,10,-2.732865298,2.627207
1,34,84,90,7,-20.9324057142857,5.874107
1,35,50,55,6,-8.597395,10.08223
1,35,59,62,4,-2.4368576,5.114301
1,35,70,74,5,-3.791891,7.520954
1,35,84,90,7,-14.0638485714286,7.098739
1,36,13,32,20,-8.6593995,13.63002
1,36,44,48,5,-5.0265135,6.862058
1,36,50,55,6,-6.98410383333333,7.424246
1,37,12,25,14,-16.9013301428571,7.402567
1,37,28,32,5,-6.220822,9.165579
1,37,37,40,4,-3.527572,7.760619
1,37,44,49,6,-5.77804056666667,4.664258
1,37,51,55,5,-9.1166098,3.00695
1,38,12,32,21,-9.63313464761905,17.11228
1,38,36,41,6,-8.7380045,11.69696
1,38,45,49,5,-10.5284536,5.605552
1,38,52,56,5,-8.6353508,4.088098
1,38,64,68,5,-4.74599732,4.281198
1,39,13,56,44,-3.15456795,27.7115
1,39,64,69,6,-11.0888748333333,5.349128
1,40,13,49,37,-2.12883343783784,29.93408
1,40,53,56,4,-4.60327325,4.616941
1,40,63,70,8,-11.963877625,16.7715
1,41,13,25,13,-8.01645975384615,11.06315
1,41,28,32,5,-8.716808,4.93265
1,41,37,41,5,-3.87549676,8.688897
1,41,53,56,4,-4.825185,4.666787
1,41,62,69,8,-15.87981155,9.232965
1,41,80,90,11,-7.02265281818182,30.16427
1,42,12,18,7,-12.6543217142857,2.252819
