"cellIndex","PA_window","Speed","Duration","Frequency","Label","Timing"
1,0,-3.0031525400228,45.3636363636364,0.779661016949153,"Control",1
1,1,-5.08047499249859,75.6875,0.794117647058823,"Control",1
2,0,-8.21519953982698,70.7756563245823,1.04477611940298,"Control",1
2,1,-6.34758926704039,57.0179372197309,1.24444444444444,"Control",1
3,0,-4.83709887903916,61.5490797546012,0.68125,"Control",1
3,1,-4.73733541345324,62.1359223300971,0.825396825396825,"Control",1
4,0,-3.23015866109125,50.0724637681159,0.555555555555556,"Control",1
4,1,-3.56325736703055,58.6363636363636,0.547619047619048,"Control",1
5,0,-4.61351531855919,61.3272311212815,0.682242990654206,"Control",1
5,1,-4.78959889308692,46.9101123595506,1.57894736842105,"Control",1
6,0,-6.99450222958057,59.7093023255814,1.15333333333333,"Control",1
6,1,-5.94888099752844,51.304347826087,1.4040404040404,"Control",1
1,0,-3.10459247592808,56.9318181818182,0.261937830687831,"Control",0
1,1,-4.48904119324818,71.0606060606061,0.669248035914703,"Control",0
2,0,-7.79789601925747,70.4258675078864,0.952929292929293,"Control",0
2,1,-6.66302526980692,65.4473684210526,1.10454840805718,"Control",0
3,0,-4.66235959189839,68.2201086956522,0.737171717171717,"Control",0
3,1,-4.64316535914385,58.1932773109244,1.16339869281046,"Control",0
4,0,-2.960711429244,56.304347826087,0.382113821138211,"Control",0
4,1,-3.1685111829381,60.6060606060606,0.755555555555556,"Control",0
5,0,-3.9043532429824,73.027397260274,0.495934959349593,"Control",0
5,1,-5.8123206061767,59.5945945945946,0.757575757575758,"Control",0
6,0,-6.57103119688082,97.3369565217391,0.815789473684211,"Control",0
6,1,-6.34430030800049,55.3153153153153,1.20430107526882,"Control",0
1,0,-6.76159231737425,44.8684210526316,1.275,"Mutant",1
1,1,-10.1665217914132,52.8947368421053,0.541666666666667,"Mutant",1
2,0,-12.4427493513321,65.5063291139241,0.444444444444444,"Mutant",1
2,1,-11.000782929583,64.1666666666667,0.197916666666667,"Mutant",1
3,0,-7.04963617450203,44.8347107438017,0.726190476190476,"Mutant",1
3,1,-10.5556023925876,41.986301369863,0.850574712643678,"Mutant",1
4,0,-10.0456082139855,42.8217821782178,0.739130434782609,"Mutant",1
4,1,-11.2305512448992,48.1818181818182,0.479166666666667,"Mutant",1
5,0,-7.17964814989717,34.5588235294118,1.06060606060606,"Mutant",1
5,1,-7.3939294560896,36,1.09803921568627,"Mutant",1
6,0,-5.19756063845669,35.6451612903226,0.850340136054422,"Mutant",1
6,1,-4.74744297945483,32.7551020408163,0.641025641025641,"Mutant",1
7,0,-6.71435362972031,45.86,0.92962962962963,"Mutant",1
7,1,-7.70237078789913,40.4761904761905,1.01587301587302,"Mutant",1
1,0,-3.36718778835593,45.2105263157895,0.735917312661499,"Mutant",0
1,1,-3.96980824808093,54.5614035087719,0.869023569023569,"Mutant",0
2,0,-6.85934299833299,50.0537634408602,0.418718718718719,"Mutant",0
2,1,-15.9260609318455,68.0952380952381,0.250063856960409,"Mutant",0
3,0,-5.81031591586809,45.1041666666667,0.680299448384555,"Mutant",0
3,1,-8.02071846325136,54.957264957265,1.02358674463938,"Mutant",0
4,0,-7.55911691304057,46.1676646706587,1.10755555555556,"Mutant",0
4,1,-7.09091438593461,56.8333333333333,1.11707818930041,"Mutant",0
5,0,-4.80109602756846,79.4736842105263,0.507122507122507,"Mutant",0
5,1,-3.22729796651836,82.5925925925926,0.659259259259259,"Mutant",0
6,0,-4.4509338528942,44.2857142857143,0.787758945386064,"Mutant",0
6,1,-4.2931505414042,44.9107142857143,0.939444444444445,"Mutant",0
7,0,-5.9235330679819,62.6337448559671,0.957495590828924,"Mutant",0
7,1,-3.68728916240917,63.7931034482759,0.92610229276896,"Mutant",0
